Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Freistaat Sachsen,Leibniz-Institut für jüdische Geschichte und Kultur - Simon Dubnow (DI),Leibniz-Institut für jüdische Geschichte und Kultur - Simon Dubnow (DI),Leibniz Institute of Jewish History and Culture - Simon Dubnow (DI),Leibniz Institute for Jewish History and Culture – Simon Dubnow,https://ror.org/03j1wg370,grid.505963.c,NA,Q1470119,10765,Goldschmidtstraße,28,NA,4103,Leipzig,Geisteswissenschaften,Sonstige/Außereuropäische Sprach- und Kulturwissenschaften,Judaistik/Hebräisch,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10765,www.dubnow.de/institut/aktuelles/,www.dubnow.de/institut/aktuelles/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,23.02.2021,,,23.02.2021,keine Hinweise,,,23.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,23.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,23.02.2021
Freistaat Sachsen,Leibniz-Institut für Länderkunde (IfL),Leibniz-Institut für Länderkunde (IfL),Leibniz Institute for Regional Geography (IfL),Leibniz Institute for Regional Geography,https://ror.org/02wt6e634,grid.461797.a,NA,Q1813740,10614,Schongauerstraße,9,NA,4328,Leipzig,"Mathematik, Naturwissenschaften",Geographie,Geographische Länder- und Landschaftskunde,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10614,www.leibniz-ifl.de/institut/organisation,www.leibniz-ifl.de/institut/organisation,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://leibniz-ifl.de/forschung/publikationen-1/open-access,23.02.2021,,,23.02.2021,keine Hinweise,,,23.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,23.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2021,https://www.gesis.org/ssoar/home,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,23.02.2021
Freistaat Sachsen,Leibniz-Institut für Oberflächenmodifizierung (IOM),,NA,Leibniz Institute of Surface Engineering,https://ror.org/04vx4mk32,grid.461802.9,NA,Q1813759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,www.iom-leipzig.de/,www.iom-leipzig.de/,Forschungsorganisation: Leibniz-Gemeinschaft,,,,23.02.2021,,,23.02.2021,keine Hinweise,,,23.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,23.02.2021,,https://www.gesis.org/ssoar/home,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,23.02.2021
Freistaat Sachsen,Leibniz-Institut für ökologische Raumentwicklung (IÖR) e.V.,Leibniz-Institut für ökologische Raumentwicklung (IÖR) e.V.,Leibniz Institute of Ecological Urban and Regional Development (IOER),Leibniz Institute of Ecological Urban and Regional Development,https://ror.org/02t26g637,grid.424805.f,grid.424805.f,Q1813774,10398,Weberplatz,1,NA,1217,Dresden,Ingenieurwissenschaften,Raumplanung,Raumplanung allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10398,www.ioer.de/home/,www.ioer.de/home/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2021,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Freistaat Sachsen,Leibniz-Institut für Polymerforschung Dresden (IPF),Leibniz-Institut für Polymerforschung Dresden (IPF),Leibniz Institute of Polymer Research Dresden (IPF),Leibniz Institute of Polymer Research,https://ror.org/01tspta37,grid.419239.4,grid.419239.4,Q1739877,10397,Hohe Straße,6,NA,1069,Dresden,"Mathematik, Naturwissenschaften",Chemie,Makromolekulare Chemie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10397,www.ipfdd.de/de/ueber-uns/,www.ipfdd.de/de/ueber-uns/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,http://www.ipfdd.de/de/organisation/abteilungen-und-gruppen/gruppen-der-verwaltung-und-technische-dienste/bibliothek/open-access/,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Freistaat Sachsen,Leibniz-Institut für Troposphärenforschung e.V. (TROPOS),Leibniz-Institut für Troposphärenforschung e.V. (TROPOS),Leibniz Institute for Tropospheric Research (TROPOS),Leibniz Institute for Tropospheric Research,https://ror.org/03a5xsc56,grid.424885.7,NA,Q1607075,10396,Permoserstraße,15,NA,4318,Leipzig,"Mathematik, Naturwissenschaften",Geowissenschaften (ohne Geographie),Meteorologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10396,www.tropos.de,www.tropos.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2021,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Freistaat Sachsen,Max-Planck-Institut für Chemische Physik fester Stoffe (MPI CPfS),Max-Planck-Institut für Chemische Physik fester Stoffe (MPI CPfS),Max Planck Institute for Chemical Physics of Solids (MPI CPfS),Max Planck Institute for Chemical Physics of Solids,https://ror.org/01c997669,grid.419507.e,grid.419507.e,Q1912059,10748,Nöthnitzer Straße,40,NA,1187,Dresden,"Mathematik, Naturwissenschaften","Physik, Astronomie",Festkörperphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10748,www.cpfs.mpg.de/de,www.cpfs.mpg.de/de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.cpfs.mpg.de/de/library/open_access,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Freistaat Sachsen,Max-Planck-Institut für evolutionäre Anthropologie (MPI EVA),Max-Planck-Institut für evolutionäre Anthropologie (MPI EVA),Max Planck Institute for Evolutionary Anthropology (MPI EVA),Max Planck Institute for Evolutionary Anthropology,https://ror.org/02a33b393,grid.419518.0,grid.419518.0,Q682926,10731,Deutscher Platz,6,NA,4103,Leipzig,"Mathematik, Naturwissenschaften",Biologie,Anthropologie (Humanbiologie),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10731,www.eva.mpg.de/german/index.html?Fsize=vcxcvwdvavat,www.eva.mpg.de/german/index.html?Fsize=vcxcvwdvavat,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,26.02.2021,,,26.02.2021,keine Hinweise,Gisela Lausberg,openaccess.mpg.de/318587/MPG-Open-Access-Network,26.02.2021,lausberg@eva.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Freistaat Sachsen,Max-Planck-Institut für Kognitions- und Neurowissenschaften,Max-Planck-Institut für Kognitions- und Neurowissenschaften,Institute for Human Cognitive and Brain Science (MPI CBS),Max Planck Institute for Human Cognitive and Brain Sciences,https://ror.org/0387jng26,grid.419524.f,grid.419524.f,Q257792,10593,Stephanstraße,1a,NA,4103,Leipzig,Humanmedizin/Gesundheitswissenschaften,Klinisch-Praktische Humanmedizin (ohne Zahnmedizin),Neurologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10593,www.cbs.mpg.de,www.cbs.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.cbs.mpg.de/bibliothek/service/open-access,26.02.2021,,,26.02.2021,keine Hinweise,Karina Näthe,www.cbs.mpg.de/bibliothek/service/open-access,26.02.2021,naethe@cbs.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nen,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Freistaat Sachsen,Max-Planck-Institut für Mathematik in den Naturwissenschaften (MIS),Max-Planck-Institut für Mathematik in den Naturwissenschaften (MIS),Max Planck Institute for Mathematics in the Sciences (MIS),Max Planck Institute for Mathematics in the Sciences,https://ror.org/00ez2he07,grid.419532.8,NA,Q1912085,10696,Inselstraße,22,NA,4103,Leipzig,"Mathematik, Naturwissenschaften",Mathematik,Angewandte Mathematik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10696,www.mis.mpg.de/,www.mis.mpg.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Freistaat Sachsen,Max-Planck-Institut für molekulare Zellbiologie und Genetik (MPI-CBG),Max-Planck-Institut für molekulare Zellbiologie und Genetik (MPI-CBG),Max-Planck-Institute of Molecular Cell Biology and Genetics (MPI-CBG),Max Planck Institute of Molecular Cell Biology and Genetics,https://ror.org/05b8d3w18,grid.419537.d,grid.419537.d,Q317361,10791,Pfotenhauerstraße,108,NA,1307,Dresden,"Mathematik, Naturwissenschaften",Biologie,Biologie allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10791,www.mpi-cbg.de/home/,www.mpi-cbg.de/home/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.molgen.mpg.de/107364/Open_Access,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Freistaat Sachsen,Max-Planck-Institut für Physik komplexer Systeme,Max-Planck-Institut für Physik komplexer Systeme,Max Planck Institute for the Physics of Complex Systems,Max Planck Institute for the Physics of Complex Systems,https://ror.org/01bf9rw71,grid.419560.f,grid.419560.f,Q1912086,10549,Nöthnitzer Straße,38,NA,1187,Dresden,"Mathematik, Naturwissenschaften","Physik, Astronomie",Physik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10549,www.pks.mpg.de,www.pks.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,Johannes Baumgart,nein,26.02.2021
Freistaat Sachsen,Technische Universität Bergakademie Freiberg,Technische Universität Bergakademie Freiberg,TU Bergakademie Freiberg - University of Resources,TU Bergakademie Freiberg,https://ror.org/031vc2293,grid.6862.a,grid.6862.a,NA,10349,Akademiestraße,6,NA,9599,Freiberg,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10349,,tu-freiberg.de/,Universität,Universität,university,tu-freiberg.de/ub/publizieren/open-access,20.11.2020,,,20.11.2020,keine Hinweise,"Martina Obst, Cornelia Rau",tu-freiberg.de/ub/publizieren/open-access,20.11.2020,erm@ub.tu-freiberg.de,ja,keine Angabe,tu-freiberg.de/sites/default/files/media/universitaetsbibliothek-5210/openaccess/open_access_policy.pdf,,,,nein,,,,nein,,20.11.2020,,tubaf.qucosa.de/,,nein,,nein,,nein,nein,nein,20.11.2020
Freistaat Sachsen,Technische Universität Chemnitz,Technische Universität Chemnitz,Chemnitz University of Technology (CUT),Chemnitz University of Technology,https://ror.org/00a208s56,grid.6810.f,grid.6810.f,NA,10355,Straße der Nationen,62,NA,9111,Chemnitz,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10355,,www.tu-chemnitz.de,Universität,Universität,university,www.tu-chemnitz.de/ub/publizieren/openaccess/,20.11.2020,,,20.11.2020,keine Hinweise,Ute Blumtritt,www.tu-chemnitz.de/ub/publizieren/openaccess/,20.11.2020,oa@bibliothek.tu-chemnitz.de,ja,07.2015,www.tu-chemnitz.de/ub/publizieren/openaccess/#policy,,,,ja,Eigenmittel,ja,www.tu-chemnitz.de/ub/publizieren/openaccess/#finanz,nein,,20.11.2020,Fond für 2020; keine Angabe zu Monographien/Sammelwerken,monarch.qucosa.de/,,ja,04.06.2015,nein,,nein,nein,nein,20.11.2020
Freistaat Sachsen,Universität Leipzig,Universität Leipzig,Leipzig University,Leipzig University,https://ror.org/03s7gtk40,grid.9647.c,grid.9647.c,NA,10351,Ritterstraße,26,NA,4109,Leipzig,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10351,,www.uni-leipzig.de/,Universität,Universität,university,www.ub.uni-leipzig.de/open-science/publikationsfonds/,20.11.2020,,,20.11.2020,keine Hinweise,"Dr. Adriana Slavcheva, Dr. Astrid Vieler",www.ub.uni-leipzig.de/open-science/oa-allgemein/,20.11.2020,openscience@ub.uni-leipzig.de,ja,13.06.2019,www.ub.uni-leipzig.de/fileadmin/Resources/Public/Docs/Upload_News/Heft_18_Open_Access_Policy.pdf,,,,ja,Eigenmittel,ja,www.ub.uni-leipzig.de/open-science/publikationsfonds/,ja,www.ub.uni-leipzig.de/open-science/open-access-fonds/oa-mongraphien-und-oa-sammelbaende/,20.11.2020,"BMB-Post-Fund, Horizon2020, bis 2019: DFG-Kofinanziert",ul.qucosa.de/,,ja,08.07.2013,ja,23.07.2017,nein,"Franz Hanschmidt, 
 Lieneke Katharina Janssen, 
 Astrid Vieler, Oliver Decker, Elisabeth Burr",nein,20.11.2020
Freistaat Sachsen,NA,Leibniz-Institut für Oberflächenmodifizierung e.V. (IOM),Leibniz Institute of Surface Engineering (IOM),Leibniz Institute of Surface Engineering,https://ror.org/04vx4mk32,grid.461802.9,grid.461802.9,Q1813759,10395,Permoserstraße,15,NA,4318,Leipzig,"Mathematik, Naturwissenschaften","Physik, Astronomie",Festkörperphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10395,www.iom-leipzig.de/,www.iom-leipzig.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik (IWU),Fraunhofer Institute for Machine Tools and Forming Technology (IWU),NA,NA,NA,grid.461651.1,NA,10401,Reichenhainer Straße,88,NA,9126,Chemnitz,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Sondergebiete des Maschinenwesens,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10401,,www.iwu.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS),Fraunhofer Institute for Ceramic Technologies and Systems (IKTS),NA,NA,NA,grid.461622.5,NA,10653,Winterbergstraße,28,NA,1277,Dresden,Ingenieurwissenschaften,Materialwissenschaft und Werkstofftechnik,Werkstofftechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10653,,www.ikts.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,Fraunhofer-Institut für Werkstoff- und Strahltechnik (IWS),Fraunhofer Institute for Material and Beam Technology (IWS),NA,NA,NA,grid.461641.0,NA,10668,Winterbergstraße,28,NA,1277,Dresden,Ingenieurwissenschaften,Materialwissenschaft und Werkstofftechnik,Werkstofftechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10668,,www.iws.fraunhofer.de,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,"Fraunhofer-Institut für Organische Elektronik, Elektronenstrahl- und Plasmatechnik (FEP)","Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology (FEP)",NA,NA,NA,grid.469851.7,NA,10678,Winterbergstraße,28,NA,1277,Dresden,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Elektrotechnik allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10678,,www.fep.fraunhofer.de,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,Fraunhofer-Institut für Photonische Mikrosysteme (IPMS),Fraunhofer Institute for Photonic Microsystems (IPMS),NA,NA,NA,grid.469853.5,NA,10679,Maria-Reiche-Straße,2,NA,1109,Dresden,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Mikrosystemtechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10679,,www.ipms.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,Fraunhofer-Institut für Verkehrs- und Infrastruktursysteme (IVI),Fraunhofer Institute for Transportation and Infrastructure Systems (IVI),NA,NA,NA,grid.469826.7,NA,10787,Zeunerstraße,38,NA,1069,Dresden,Ingenieurwissenschaften,Bauingenieurwesen,"Verkehrsbau, -wesen",NA,NA,NA,http://www.gerit.org/de/institutiondetail/10787,,www.ivi.fraunhofer.de,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,Fraunhofer-Institut für Zelltherapie und Immunologie (IZI),Fraunhofer Institute for Cell Therapy and Immunology (IZI),NA,NA,NA,grid.418008.5,NA,50950707,Perlickstraße,1,NA,4103,Leipzig,Humanmedizin/Gesundheitswissenschaften,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Immunologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/50950707,,www.izi.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,Fraunhofer-Zentrum für Internationales Management und Wissensökonomie (IMW),Fraunhofer Center for International Management and Knowledge Economy (IMW),NA,NA,NA,NA,NA,84825200,Neumarkt,9-19,NA,4109,Leipzig,"Rechts-, Wirtschafts- und Sozialwissenschaften",Wirtschaftswissenschaften,Wirtschaftswissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/84825200,,www.imw.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Sachsen,NA,Fraunhofer-Institut für Elektronische Nanosysteme (ENAS),Fraunhofer Institute for Electronic Nano Systems (ENAS),NA,NA,NA,grid.469847.0,NA,165156373,Technologie-Campus,3,NA,9126,Chemnitz,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Mikrosystemtechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/165156373,,www.enas.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Thüringen,Bauhaus-Universität Weimar,Bauhaus-Universität Weimar,Bauhaus-Universität Weimar,"Bauhaus University, Weimar",https://ror.org/033bb5z47,grid.41315.32,grid.41315.32,NA,10362,Geschwister-Scholl-Straße,8,NA,99423,Weimar,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,501100006708,NA,NA,http://www.gerit.org/de/institutiondetail/10362,,www.uni-weimar.de,Universität,Universität,university,www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/,20.11.2020,Dana Horch,www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/,20.11.2020,,"Heidi Körner, Heidi Traeger",www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/,20.11.2020,openaccess@ub.uni-weimar.de,ja,14.12.2016,www.uni-weimar.de/fileadmin/user/uni/zentrale_einrichtungen/ub_bibliothek/files/pdf/Open_Access_Policy_final_Dezember_2016-1.pdf,,,,ja,DFG-Kofinanziert;,ja,www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/publikationsfonds/,ja,www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/universitaetsbibliothek/recherche/open-access/,20.11.2020,Monografien/Sammelwerke durch TMWWDG-Kofinanzierung,e-pub.uni-weimar.de/opus4/home,,nein,,nein,,nein,Guocheng Qi,nein,20.11.2020
