"","DOIs","publication_year","resource_type"
"27121","10.1163/22129758-12341027",2015,"journal-article"
"27122","10.1080/19409419.2015.1008934",2015,"journal-article"
"27123","10.33196/jbl201901000201",2019,"journal-article"
"27124","10.1080/01439685.2019.1603906",2019,"journal-article"
"27125","10.7287/peerj.preprints.1279v2",2015,"posted-content"
"27126","10.31205/ua.199.02",2018,"journal-article"
"27127","10.28945/4537",2020,"journal-article"
"27128","10.1332/204378920x15807076914395",2020,"journal-article"
"27129","10.1177/1611894420910899",2020,"journal-article"
"27130","10.1177/0952695119888984",2020,"journal-article"
"27131","10.1002/gamm.202000021",2020,"journal-article"
"27132","10.1177/1077800416655829",2016,"journal-article"
"27133","10.1080/18626033.2020.1886537",2020,"journal-article"
"27134","10.1145/2684464.2684473",2015,"proceedings-article"
"27135","10.1177/1527476417742971",2017,"journal-article"
"27136","10.1111/roiw.12184",2015,"journal-article"
"27137","10.1515/asia-2015-1024",2015,"journal-article"
"27138","10.1515/slaw-2015-0028",2015,"journal-article"
"27139","10.1515/zug-2017-0012",2017,"journal-article"
"27140","10.1515/infodaf-2019-0001",2019,"journal-article"
"27141","10.1177/8756972818781710",2018,"journal-article"
"27142","10.1002/9781119383567.ch16",2019,"book-chapter"
"27143","10.1093/ehr/ceab026",2021,"journal-article"
"27144","10.1080/14719037.2020.1771011",2020,"journal-article"
"27145","10.1111/spsr.12129",2015,"journal-article"
"27146","10.1177/0022526617709168",2017,"journal-article"
"27147","10.1182/bloodadvances.2020001987",2020,"journal-article"
"27148","10.1163/15718190-08434p03",2016,"journal-article"
"27149","10.1111/eth.13008",2020,"journal-article"
"27150","10.1002/nafm.10621",2021,"journal-article"
"27151","10.21203/rs.3.rs-564463/v1",2021,"posted-content"
"27152","10.1111/jcpe.12796",2017,"journal-article"
"27153","10.1515/icom-2020-0014",2020,"journal-article"
"27154","10.1515/teme-2020-0089",2021,"journal-article"
"27155","10.1515/sug-2019-0001",2018,"journal-article"
"27156","10.1177/0954409714555383",2015,"journal-article"
"27157","10.2166/wqrj.2018.006",2018,"journal-article"
"27158","10.1055/s-0036-1588323",2016,"journal-article"
"27159","10.1021/acs.chemrev.0c00396",2020,"journal-article"
"27160","10.1055/a-0987-8212",2019,"journal-article"
"27161","10.1002/celc.201901603",2019,"journal-article"
"27162","10.1002/cite.202055252",2020,"journal-article"
"27163","10.1515/aot-2020-0046",2020,"journal-article"
"27164","10.1002/alz.037850",2020,"journal-article"
"27165","10.5220/0009410903530360",2020,"proceedings-article"
"27166","10.1111/1541-4337.12657",2020,"journal-article"
"27167","10.1002/elsc.201700099",2017,"journal-article"
"27168","10.1093/gji/ggaa168",2020,"journal-article"
"27169","10.1111/aje.12520",2018,"journal-article"
"27170","10.1145/2888422.2888443",2016,"journal-article"
"27171","10.1002/bsl.2485",2020,"journal-article"
"27172","10.1002/art.41039",2019,"journal-article"
"27173","10.1111/ddi.13208",2020,"journal-article"
"27174","10.1177/0271678x16652631",2016,"journal-article"
"27175","10.1016/j.jalz.2017.06.2353",2017,"journal-article"
"27176","10.1200/jco.2021.39.15_suppl.3552",2021,"journal-article"
"27177","10.1182/blood.v128.22.2179.2179",2016,"journal-article"
"27178","10.1002/adfm.201970064",2019,"journal-article"
"27179","10.1055/a-1208-0045",2020,"journal-article"
"27180","10.1021/acs.nanolett.5b04984",2015,"journal-article"
"27181","10.1039/c7ta10759e",2018,"journal-article"
"27182","10.1002/cbic.201700027",2017,"journal-article"
"27183","10.1111/bor.12330",2018,"journal-article"
"27184","10.1002/adfm.201806706",2019,"journal-article"
"27185","10.1021/acscatal.8b04032",2019,"journal-article"
"27186","10.1369/0022155420929438",2020,"journal-article"
"27187","10.1111/jch.13382",2018,"journal-article"
"27188","10.1111/boj.12347",2015,"journal-article"
"27189","10.1002/mnfr.202000735",2021,"journal-article"
"27190","10.1016/j.jalz.2015.06.021",2015,"journal-article"
"27191","10.1080/13876988.2020.1820866",2020,"journal-article"
"27192","10.1002/bate.201600057",2016,"journal-article"
"27193","10.1080/13607863.2017.1334759",2017,"journal-article"
"27194","10.1080/19440049.2018.1543955",2018,"journal-article"
"27195","10.1111/bjdp.12100",2015,"journal-article"
"27196","10.1111/tpj.15383",2021,"journal-article"
"27197","10.1080/21564574.2017.1422153",2018,"journal-article"
"27198","10.1021/acssensors.8b01032",2018,"journal-article"
"27199","10.1021/jacs.8b12471",2019,"journal-article"
"27200","10.18632/oncotarget.14268",2016,"journal-article"
"27201","10.7554/elife.53308",2020,"journal-article"
"27202","10.1093/mnras/staa2769",2020,"journal-article"
"27203","10.1093/nar/gky1304",2019,"journal-article"
"27204","10.1080/1747423x.2020.1739766",2020,"journal-article"
"27205","10.1177/0011392118807523",2018,"journal-article"
"27206","10.7440/res57.2016.01",2016,"journal-article"
"27207","10.1111/jcms.12419",2016,"journal-article"
"27208","10.5220/0006265301580164",2017,"proceedings-article"
"27209","10.1055/s-0037-1602070",2017,"journal-article"
"27210","10.1080/01490400.2016.1256796",2017,"journal-article"
"27211","10.1002/9783433607992",2016,"book"
"27212","10.1055/s-0036-1594219",2016,"journal-article"
"27213","10.1080/00207578.2018.1493345",2018,"journal-article"
"27214","10.1111/jdv.14185",2017,"journal-article"
"27215","10.5465/ambpp.2018.12112abstract",2018,"journal-article"
"27216","10.1093/fs/kny022",2018,"journal-article"
"27217","10.7554/elife.27000.017",2017,"peer-review"
"27218","10.1177/2158244017713554",2017,"journal-article"
"27219","10.1177/0974927617705932",2017,"journal-article"
"27220","10.7440/res62.2017.02",2017,"journal-article"
"27221","10.1590/2237-266085311",2019,"journal-article"
"27222","10.1145/3283458.3283527",2018,"proceedings-article"
"27223","10.1111/glal.12216",2019,"journal-article"
"27224","10.24833/2071-8160-2019-2-65-7-31",2019,"journal-article"
"27225","10.1177/0018720818781192",2018,"journal-article"
"27226","10.4171/news/110/19",2018,"journal-article"
"27227","10.1002/best.201900078",2020,"journal-article"
"27228","10.1332/204378919x15762350233091",2020,"journal-article"
"27229","10.37237/090309",2018,"journal-article"
"27230","10.30965/25890530-04903003",2019,"journal-article"
"27231","10.1055/a-0827-8841",2019,"journal-article"
"27232","10.1080/00309230.2019.1653946",2019,"journal-article"
"27233","10.1145/3345002.3349294",2019,"proceedings-article"
"27234","10.1177/1046496419879759",2019,"journal-article"
"27235","10.1386/ijia_00020_1",2020,"journal-article"
"27236","10.31205/ua.221.02",2019,"journal-article"
"27237","10.2514/6.2016-1840",2016,"proceedings-article"
"27238","10.37804/1691-6077-2020-11-156-163",2020,"journal-article"
"27239","10.37237/relay/010104",2018,"journal-article"
"27240","10.1177/0038026119854273",2019,"journal-article"
"27241","10.1515/olzg-2020-0155",2021,"journal-article"
"27242","10.1515/mgzs-2015-0013",2015,"journal-article"
"27243","10.1515/jbwg-2020-0012",2020,"journal-article"
"27244","10.1515/hzhz-2016-0182",2016,"journal-article"
"27245","10.1515/mks-2019-2024",2019,"journal-article"
"27246","10.3139/120.111403",2019,"journal-article"
"27247","10.1177/2032284421994921",2021,"journal-article"
"27248","10.1111/sjoe.12206",2017,"journal-article"
"27249","10.1002/9781118663219.wbegss451",2016,"reference-entry"
"27250","10.1111/hith.10776",2015,"journal-article"
"27251","10.1111/1468-229x.12444",2017,"journal-article"
"27252","10.1177/1077800416655827",2016,"journal-article"
"27253","10.1111/phc3.12552",2018,"journal-article"
"27254","10.1177/0309816818815246",2018,"journal-article"
"27255","10.1177/1461444819826402",2019,"journal-article"
"27256","10.7287/peerj.preprints.1279v3",2015,"posted-content"
"27257","10.1002/pros.23446",2017,"journal-article"
"27258","10.7554/elife.53308.sa2",2020,"peer-review"
"27259","10.1177/2047487319873460",2019,"journal-article"
"27260","10.1002/ejhf.1100",2017,"journal-article"
"27261","10.1002/aps3.11295",2019,"journal-article"
"27262","10.1021/acsenergylett.0c00802",2020,"journal-article"
"27263","10.1024/1661-4747/a000309",2017,"journal-article"
"27264","10.1002/mrm.27194",2018,"journal-article"
"27265","10.1055/a-1026-6220",2019,"journal-article"
"27266","10.1111/jce.14717",2020,"journal-article"
"27267","10.1021/acs.inorgchem.8b02667",2019,"journal-article"
"27268","10.1002/jmri.25125",2015,"journal-article"
"27269","10.1039/c6an00693k",2016,"journal-article"
"27270","10.4018/ijiit.2019010101",2019,"journal-article"
"27271","10.1142/s1363919617500244",2017,"journal-article"
"27272","10.1055/s-0037-1598369",2017,"journal-article"
"27273","10.1115/gt2016-58016",2016,"proceedings-article"
"27274","10.1002/best.201750002",2018,"journal-article"
"27275","10.1520/stp161120170162",2019,"book-chapter"
"27276","10.1177/0967033519857733",2019,"journal-article"
"27277","10.1080/02331934.2018.1509215",2018,"journal-article"
"27278","10.1515/teme-2018-0004",2018,"journal-article"
"27279","10.1080/09276440.2017.1286878",2017,"journal-article"
"27280","10.1515/hf-2017-0122",2018,"journal-article"
"27281","10.1111/jace.13732",2015,"journal-article"
"27282","10.1177/0956797615617811",2016,"journal-article"
"27283","10.1002/14651858.cd012603",2017,"journal-article"
"27284","10.1024/1422-4917/a000420",2016,"journal-article"
"27285","10.1152/ajpregu.00154.2015",2015,"journal-article"
"27286","10.1093/nar/gkab185",2021,"journal-article"
"27287","10.1021/acs.est.1c02650",2021,"journal-article"
"27288","10.1021/jasms.0c00390",2021,"journal-article"
"27289","10.1002/gcc.22480",2017,"journal-article"
"27290","10.1002/ehf2.12629",2020,"journal-article"
"27291","10.1021/acsaem.0c01904",2020,"journal-article"
"27292","10.1111/corg.12375",2021,"journal-article"
"27293","10.1002/nla.2018",2015,"journal-article"
"27294","10.1002/9783527692156.ch34",2017,"book-chapter"
"27295","10.7326/m16-2758",2017,"journal-article"
"27296","10.1055/s-0038-1639259",2018,"proceedings-article"
"27297","10.1055/a-0969-2117",2019,"journal-article"
"27298","10.1055/s-0040-1717570",2020,"proceedings-article"
"27299","10.1056/nejmms2029814",2021,"journal-article"
"27300","10.1109/acssc.2015.7421050",2015,"proceedings-article"
"27301","10.1055/a-1384-6441",2021,"journal-article"
"27302","10.1080/00207543.2019.1627438",2019,"journal-article"
"27303","10.1021/acs.langmuir.6b01477",2016,"journal-article"
"27304","10.1080/00150193.2021.1888043",2021,"journal-article"
"27305","10.1111/jai.12856",2015,"journal-article"
"27306","10.1142/9789813233591_0002",2018,"book-chapter"
"27307","10.1080/1755876x.2018.1438343",2018,"journal-article"
"27308","10.1155/2016/4796474",2016,"journal-article"
"27309","10.1055/s-0035-1546010",2015,"journal-article"
"27310","10.1366/14-07679",2015,"journal-article"
"27311","10.1002/sd.1739",2018,"journal-article"
"27312","10.1055/a-0954-7064",2019,"journal-article"
"27313","10.1002/best.202000025",2020,"journal-article"
"27314","10.5006/3324",2020,"journal-article"
"27315","10.1182/blood-2020-139803",2020,"journal-article"
"27316","10.1098/rspb.2016.1986",2016,"journal-article"
"27317","10.1093/geronb/gbz027",2019,"journal-article"
"27318","10.1659/mrd-journal-d-17-00085.1",2018,"journal-article"
"27319","10.1515/abitech-2017-0006",2017,"journal-article"
"27320","10.1080/17439884.2020.1786399",2020,"journal-article"
"27321","10.1080/17425247.2019.1637852",2019,"journal-article"
"27322","10.1002/jgt.22680",2021,"journal-article"
"27323","10.1080/09599916.2021.1905690",2021,"journal-article"
"27324","10.1002/essoar.10507600.1",2021,"posted-content"
"27325","10.1021/ar5004362",2015,"journal-article"
"27326","10.1002/rsa.20981",2020,"journal-article"
"27327","10.1177/2515245917745629",2018,"journal-article"
"27328","10.1002/jwmg.21488",2018,"journal-article"
"27329","10.1029/2017je005463",2018,"journal-article"
"27330","10.1055/a-0970-8886",2019,"journal-article"
"27331","10.1002/cite.202055142",2020,"journal-article"
"27332","10.1590/1678-4685-gmb-2020-0393",2021,"journal-article"
"27333","10.1007/s13524-019-00780-8",2019,"journal-article"
"27334","10.1002/asna.202013765",2020,"journal-article"
"27335","10.1055/a-1543-4831",2021,"journal-article"
"27336","10.1111/bjd.14968",2016,"journal-article"
"27337","10.1111/joim.12645",2017,"journal-article"
"27338","10.1055/a-0902-6623",2019,"journal-article"
"27339","10.1055/s-0039-1683661",2019,"proceedings-article"
"27340","10.1121/10.0002275",2020,"journal-article"
"27341","10.1093/eurpub/ckaa165.243",2020,"journal-article"
"27342","10.35686/ar.2020.8",2020,"journal-article"
"27343","10.1002/stab.201820563",2018,"journal-article"
"27344","10.1055/s-0042-100207",2016,"journal-article"
"27345","10.1080/1369183x.2021.1949269",2021,"journal-article"
"27346","10.1080/09692290.2020.1744178",2020,"journal-article"
"27347","10.1115/1.4035845",2017,"journal-article"
"27348","10.1530/edm-14-0120",2015,"journal-article"
"27349","10.1080/10242694.2021.1940456",2021,"journal-article"
"27350","10.1111/ter.12237",2016,"journal-article"
"27351","10.1055/s-0037-1605603",2017,"proceedings-article"
"27352","10.1002/stab.201810556",2018,"journal-article"
"27353","10.1024/1422-4917/a000460",2017,"journal-article"
"27354","10.1055/a-0819-7982",2019,"proceedings-article"
"27355","10.1002/mrm.27947",2019,"journal-article"
"27356","10.1055/a-1384-0508",2021,"journal-article"
"27357","10.1055/a-1263-0613",2020,"journal-article"
"27358","10.1080/15389588.2019.1616179",2019,"journal-article"
"27359","10.1063/1.5080131",2019,"journal-article"
"27360","10.1039/c5cp00663e",2015,"journal-article"
"27361","10.1080/09585192.2017.1380062",2017,"journal-article"
"27362","10.1080/13501763.2019.1619801",2019,"journal-article"
"27363","10.1021/acs.jctc.5b00553",2015,"journal-article"
"27364","10.1002/ange.202109312",2021,"journal-article"
"27365","10.1093/mnras/stab2062",2021,"journal-article"
"27366","10.1002/best.201700093",2018,"journal-article"
"27367","10.1021/acs.langmuir.5b00687",2015,"journal-article"
"27368","10.1098/rsta.2015.0033",2016,"journal-article"
"27369","10.1002/cite.201855354",2018,"journal-article"
"27370","10.1055/a-0596-7714",2018,"journal-article"
"27371","10.1080/21678707.2017.1394184",2017,"journal-article"
"27372","10.1080/13658816.2019.1669795",2019,"journal-article"
"27373","10.1080/09640568.2019.1681386",2019,"journal-article"
"27374","10.1063/1.5144991",2020,"journal-article"
"27375","10.1145/2766330.2766337",2015,"journal-article"
"27376","10.1142/s0218625x21500475",2021,"journal-article"
"27377","10.1002/rra.3399",2019,"journal-article"
"27378","10.1111/hae.12925",2016,"journal-article"
"27379","10.1111/rode.12192",2016,"journal-article"
"27380","10.1063/1.4906060",2015,"journal-article"
"27381","10.1126/sciadv.abb0266",2020,"journal-article"
"27382","10.1055/s-0035-1565247",2015,"journal-article"
"27383","10.1016/j.jalz.2015.07.389",2015,"journal-article"
"27384","10.1177/2515245919826527",2019,"journal-article"
"27385","10.1080/0284186x.2017.1364869",2017,"journal-article"
"27386","10.1111/ddg.13687_g",2018,"journal-article"
"27387","10.1055/s-0040-1710569",2020,"journal-article"
"27388","10.1093/bioinformatics/bty433",2018,"journal-article"
"27389","10.1080/11956860.2018.1515596",2018,"journal-article"
"27390","10.1002/rra.3845",2021,"journal-article"
"27391","10.1021/acs.nanolett.9b01400",2019,"journal-article"
"27392","10.1002/ange.201711688",2018,"journal-article"
"27393","10.1111/ddi.13029",2020,"journal-article"
"27394","10.1002/14651858.cd013039.pub2",2021,"journal-article"
"27395","10.1021/acscentsci.8b00913",2019,"journal-article"
"27396","10.4337/jqrt.2020.01.07",2020,"journal-article"
"27397","10.1016/j.jalz.2015.06.022",2015,"journal-article"
"27398","10.1061/(asce)mt.1943-5533.0002163",2018,"journal-article"
"27399","10.1055/a-0986-8779",2019,"journal-article"
"27400","10.1016/j.jalz.2015.07.388",2015,"journal-article"
"27401","10.1080/20581831.2021.1952003",2021,"journal-article"
"27402","10.3847/25c2cfeb.93ec4fee",2021,"journal-article"
"27403","10.1111/maps.12710",2016,"journal-article"
"27404","10.1055/a-0652-5424",2018,"journal-article"
"27405","10.1515/jbnst-2015-1044",2017,"journal-article"
"27406","10.1002/pat.3910",2016,"journal-article"
"27407","10.12705/653.33",2016,"journal-article"
"27408","10.26583/gns-2016-01-04",2016,"journal-article"
"27409","10.1055/s-0043-103951",2017,"journal-article"
"27410","10.1002/opph.201700026",2017,"journal-article"
"27411","10.1024/1661-4747/a000361",2018,"journal-article"
"27412","10.1039/c8ce00335a",2018,"journal-article"
"27413","10.1093/bioinformatics/btw150",2016,"journal-article"
"27414","10.1055/s-0040-1721391",2020,"journal-article"
"27415","10.1109/ojap.2020.3041953",2021,"journal-article"
"27416","10.1002/cncr.30202",2016,"journal-article"
"27417","10.1002/ijgo.13099",2020,"journal-article"
"27418","10.1093/ehjacc/zuab004",2021,"journal-article"
"27419","10.1111/nmo.12861",2016,"journal-article"
"27420","10.1055/s-0039-1693022",2019,"journal-article"
"27421","10.1093/ehjci/jeab087",2021,"journal-article"
"27422","10.1055/s-0036-1596693",2016,"journal-article"
"27423","10.1111/bjh.14913",2017,"journal-article"
"27424","10.1002/lpor.201900229",2020,"journal-article"
"27425","10.1063/1.4958862",2016,"journal-article"
"27426","10.1117/12.2246208",2016,"proceedings-article"
"27427","10.1520/mpc20170078",2018,"journal-article"
"27428","10.1080/08912963.2021.1947513",2021,"journal-article"
"27429","10.1055/s-0042-101019",2016,"journal-article"
"27430","10.1117/1.jbo.26.7.076007",2021,"journal-article"
"27431","10.1055/s-0041-1730374",2021,"journal-article"
"27432","10.1021/jacs.5b09378",2015,"journal-article"
"27433","10.1021/acscatal.0c03484",2020,"journal-article"
"27434","10.1111/ejn.15190",2021,"journal-article"
"27435","10.1093/nar/gkaa440",2020,"journal-article"
"27436","10.1021/acsmedchemlett.9b00360",2019,"journal-article"
"27437","10.1021/acs.jcim.8b00832",2019,"journal-article"
"27438","10.1002/ece3.4780",2019,"journal-article"
"27439","10.3356/0892-1016-55.1.130",2021,"journal-article"
"27440","10.1177/0954409718825412",2019,"journal-article"
"27441","10.1142/9781800610316_0009",2021,"book-chapter"
"27442","10.1142/s1758825118500898",2018,"journal-article"
"27443","10.2341/15-022-o",2016,"journal-article"
"27444","10.1080/19439962.2019.1571546",2019,"journal-article"
"27445","10.21203/rs.3.rs-16496/v4",2020,"posted-content"
"27446","10.1080/14678802.2020.1848126",2020,"journal-article"
"27447","10.21203/rs.3.rs-16496/v1",2020,"posted-content"
"27448","10.1080/13696998.2019.1663355",2019,"journal-article"
"27449","10.1111/micc.12445",2018,"journal-article"
"27450","10.21272/bel.4(3).137-144.2020",2020,"journal-article"
"27451","10.1080/24749508.2019.1695713",2019,"journal-article"
"27452","10.1177/0950017017692503",2017,"journal-article"
"27453","10.1080/14693062.2019.1708697",2020,"journal-article"
"27454","10.1002/mgg3.602",2019,"journal-article"
"27455","10.1111/jcmm.12574",2015,"journal-article"
"27456","10.1177/23969873211007686",2021,"journal-article"
"27457","10.1161/hypertensionaha.116.07971",2016,"journal-article"
"27458","10.1200/jco.2018.36.15_suppl.574",2018,"journal-article"
"27459","10.1111/maps.13392",2019,"journal-article"
"27460","10.1002/chem.201604901",2017,"journal-article"
"27461","10.1021/acs.orglett.0c04026",2021,"journal-article"
"27462","10.1039/c7ra12309d",2018,"journal-article"
"27463","10.1021/acsapm.9b00705",2019,"journal-article"
"27464","10.1021/acs.organomet.9b00616",2019,"journal-article"
"27465","10.1002/cyto.a.23852",2019,"journal-article"
"27466","10.1021/acs.jpcc.5b05169",2015,"journal-article"
"27467","10.1515/hsz-2021-0165",2021,"journal-article"
"27468","10.1111/jch.13046",2017,"journal-article"
"27469","10.1024/0301-1526/a000618",2017,"journal-article"
"27470","10.1111/bph.14871",2019,"journal-article"
"27471","10.1002/chem.201903385",2019,"journal-article"
"27472","10.1515/teme-2019-0038",2019,"journal-article"
"27473","10.2807/1560-7917.es.2020.25.36.2000089",2020,"journal-article"
"27474","10.1021/acs.nanolett.1c00998",2021,"journal-article"
"27475","10.1021/acs.organomet.6b00158",2016,"journal-article"
"27476","10.1097/aln.0000000000002087",2018,"journal-article"
"27477","10.1111/1365-2745.13046",2018,"journal-article"
"27478","10.7868/s0004629917120052",2017,"journal-article"
"27479","10.1039/d0ob00354a",2020,"journal-article"
"27480","10.1111/jfb.14664",2021,"journal-article"
"27481","10.1080/17470919.2019.1675758",2019,"journal-article"
"27482","10.1111/1467-8551.12471",2021,"journal-article"
"27483","10.1055/s-0042-101743",2016,"journal-article"
"27484","10.1089/ast.2016.1584",2016,"journal-article"
"27485","10.1112/blms.12109",2017,"journal-article"
"27486","10.1145/2729972",2015,"journal-article"
"27487","10.1200/jco.2018.36.6_suppl.566",2018,"journal-article"
"27488","10.1055/s-0037-1619271",2018,"journal-article"
"27489","10.1142/s175882512050074x",2020,"journal-article"
"27490","10.1055/s-0035-1569271",2016,"journal-article"
"27491","10.21203/rs.3.rs-16496/v3",2020,"posted-content"
"27492","10.1111/jvp.12907",2020,"journal-article"
"27493","10.1515/bfp-2020-2052",2020,"journal-article"
"27494","10.1111/arcm.12165",2015,"journal-article"
"27495","10.1177/1465116519827383",2019,"journal-article"
"27496","10.1002/nme.6264",2019,"journal-article"
"27497","10.1080/1369118x.2017.1348533",2017,"journal-article"
"27498","10.1145/2810188.2810192",2015,"proceedings-article"
"27499","10.13109/wdor.2017.47.2.216",2017,"journal-article"
"27500","10.1080/03067319.2017.1294166",2017,"journal-article"
"27501","10.1515/abitech-2019-2011",2019,"journal-article"
"27502","10.3920/978-90-8686-884-1_4",2019,"book-chapter"
"27503","10.1177/1753193419886545",2019,"journal-article"
"27504","10.1115/omae2019-95063",2019,"proceedings-article"
"27505","10.1093/cdn/nzab045_051",2021,"journal-article"
"27506","10.1155/2018/8971206",2018,"journal-article"
"27507","10.1080/0267257x.2020.1824658",2020,"journal-article"
"27508","10.1055/a-1498-3528",2021,"journal-article"
"27509","10.1002/cncr.33630",2021,"journal-article"
"27510","10.1109/qrs-c51114.2020.00091",2020,"proceedings-article"
"27511","10.1021/acs.jpcc.0c05003",2020,"journal-article"
"27512","10.1177/1094428115619013",2015,"journal-article"
"27513","10.1080/1351847x.2017.1371622",2017,"journal-article"
"27514","10.1080/13696998.2016.1252767",2016,"journal-article"
"27515","10.1055/a-0641-9552",2019,"journal-article"
"27516","10.1055/a-1026-6157",2019,"journal-article"
"27517","10.14220/lhom.2017.28.2.137",2017,"journal-article"
"27518","10.1055/a-0851-5200",2020,"journal-article"
"27519","10.1024/2235-0977/a000105",2015,"journal-article"
"27520","10.1182/blood.v126.23.3539.3539",2015,"journal-article"
"27521","10.1210/clinem/dgz159",2019,"journal-article"
"27522","10.21203/rs.3.rs-16496/v2",2020,"posted-content"
"27523","10.1029/2020ja028245",2020,"journal-article"
"27524","10.1039/c8sm00411k",2018,"journal-article"
"27525","10.1002/ajcp.12060",2016,"journal-article"
"27526","10.1515/pubhef-2016-0020",2016,"journal-article"
"27527","10.1002/dama.201800017",2018,"journal-article"
"27528","10.1080/14656566.2017.1349098",2017,"journal-article"
"27529","10.1145/3210284.3214344",2018,"proceedings-article"
"27530","10.1002/9781119328827.ch41",2016,"book-chapter"
"27531","10.1080/16184742.2021.1955290",2021,"journal-article"
"27532","10.1093/zoolinnean/zly068",2019,"journal-article"
"27533","10.1111/aor.13803",2020,"journal-article"
"27534","10.1093/jac/dkx526",2018,"journal-article"
"27535","10.1021/acschembio.0c00360",2020,"journal-article"
"27536","10.1084/jem.20161093",2017,"journal-article"
"27537","10.1002/adfm.202010704",2021,"journal-article"
"27538","10.1111/apha.12828",2016,"journal-article"
"27539","10.1063/1.4955015",2016,"journal-article"
"27540","10.1002/ajb2.1189",2018,"journal-article"
"27541","10.1021/acs.jpcb.8b04190",2018,"journal-article"
"27542","10.1055/a-1294-1580",2021,"journal-article"
"27543","10.1063/1.4922919",2015,"journal-article"
"27544","10.1002/cite.201855449",2018,"journal-article"
"27545","10.1136/vr.103973",2017,"journal-article"
"27546","10.2807/1560-7917.es.2019.24.18.1800419",2019,"journal-article"
"27547","10.1093/mmy/myx162",2018,"journal-article"
"27548","10.1039/d1tc01105g",2021,"journal-article"
"27549","10.1024/0301-1526/a000908",2020,"journal-article"
"27550","10.1111/ajt.15361",2019,"journal-article"
"27551","10.1063/1.4943079",2016,"journal-article"
"27552","10.1002/ajmg.a.36933",2015,"journal-article"
"27553","10.1142/s0218127415500625",2015,"journal-article"
"27554","10.1161/str.48.suppl_1.tp315",2017,"journal-article"
"27555","10.1111/1756-185x.13951",2020,"journal-article"
"27556","10.1111/psyp.13093",2018,"journal-article"
"27557","10.1080/14747731.2019.1644708",2019,"journal-article"
"27558","10.1177/1052562916634375",2016,"journal-article"
"27559","10.1177/0003065115594457",2015,"journal-article"
"27560","10.1080/00313831.2017.1402368",2017,"journal-article"
"27561","10.1145/3148675.3148712",2017,"proceedings-article"
"27562","10.1002/9781119065036.ch11",2017,"book-chapter"
"27563","10.1515/iasl-2020-0025",2020,"journal-article"
"27564","10.1142/s1363919619500415",2019,"journal-article"
"27565","10.1145/3325480.3326553",2019,"proceedings-article"
"27566","10.5220/0010639702070218",2021,"proceedings-article"
"27567","10.1021/acs.jpca.5b11650",2016,"journal-article"
"27568","10.4018/978-1-7998-6780-7.ch003",2021,"book-chapter"
"27569","10.1080/13501763.2016.1264085",2017,"journal-article"
"27570","10.1111/srt.12273",2015,"journal-article"
"27571","10.1109/wf-iot.2015.7389151",2015,"proceedings-article"
"27572","10.1155/2019/8436505",2019,"journal-article"
"27573","10.2500/aap.2020.41.200003",2020,"journal-article"
"27574","10.1109/eptc.2017.8277579",2017,"proceedings-article"
"27575","10.1111/avsc.12561",2021,"journal-article"
"27576","10.1002/2016jb013020",2016,"journal-article"
"27577","10.1002/clc.22375",2015,"journal-article"
"27578","10.1111/bph.14425",2018,"journal-article"
"27579","10.25162/zbw-2021-0010",2021,"journal-article"
"27580","10.1029/2020gl089576",2020,"journal-article"
"27581","10.1111/jdv.16947",2020,"journal-article"
"27582","10.1002/cssc.201802737",2019,"journal-article"
"27583","10.1093/bioinformatics/btaa222",2020,"journal-article"
"27584","10.1021/acsaem.8b01654",2018,"journal-article"
"27585","10.1111/fwb.12979",2017,"journal-article"
"27586","10.1200/jco.2017.35.15_suppl.10068",2017,"journal-article"
"27587","10.1055/a-0996-8371",2019,"journal-article"
"27588","10.1021/acs.jnatprod.5b00950",2016,"journal-article"
"27589","10.1128/mra.01711-18",2019,"journal-article"
"27590","10.4155/ppa-2021-0002",2021,"journal-article"
"27591","10.1063/1.4973561",2017,"journal-article"
"27592","10.2807/1560-7917.es.2021.26.21.2100433",2021,"journal-article"
"27593","10.1021/acs.inorgchem.6b03067",2017,"journal-article"
"27594","10.1177/0888406415591220",2015,"journal-article"
"27595","10.1002/ejsp.2284",2017,"journal-article"
"27596","10.21203/rs.3.rs-636098/v1",2021,"posted-content"
"27597","10.1002/spp2.1395",2021,"journal-article"
"27598","10.1287/moor.2017.0850",2018,"journal-article"
"27599","10.13109/tode.2016.13.2.257",2016,"journal-article"
"27600","10.1002/mma.3895",2016,"journal-article"
"27601","10.1021/acs.chemrev.0c01210",2021,"journal-article"
"27602","10.1161/strokeaha.117.018992",2017,"journal-article"
"27603","10.1200/jco.2016.34.15_suppl.4096",2016,"journal-article"
"27604","10.1200/jco.2019.37.15_suppl.e18082",2019,"journal-article"
"27605","10.1111/petr.13534",2019,"journal-article"
"27606","10.1111/1751-7915.12398",2016,"journal-article"
"27607","10.1080/08929882.2017.1394061",2017,"journal-article"
"27608","10.1109/dasip48288.2019.9049169",2019,"proceedings-article"
"27609","10.2514/1.j055633",2017,"journal-article"
"27610","10.1021/acs.jpcc.1c01390",2021,"journal-article"
"27611","10.1039/c7sc04521b",2018,"journal-article"
"27612","10.1021/acsami.1c04871",2021,"journal-article"
"27613","10.1039/c4ja00251b",2015,"journal-article"
"27614","10.1039/c8py00193f",2018,"journal-article"
"27615","10.1039/c5cp06131h",2016,"journal-article"
"27616","10.1096/fj.201600613r",2016,"journal-article"
